Commission,Category,Geography,Date,Evaluation,Resignations,CumeResignations,Population
Yes,Sales,North America,02/28/12,D,15,28,87
Yes,Sales,North America,03/31/12,D,15,43,81
Yes,Sales,North America,04/30/12,D,21,64,83
Yes,Sales,North America,05/31/12,D,20,84,85
Yes,Sales,North America,06/30/12,D,22,106,78
Yes,Sales,North America,07/31/12,D,26,132,81
Yes,Sales,North America,08/31/12,D,20,152,78
Yes,Sales,North America,09/30/12,D,19,171,76
Yes,Sales,North America,10/31/12,D,18,189,81
Yes,Sales,North America,11/30/12,D,14,203,67
Yes,Sales,North America,12/31/12,D,11,214,71
Yes,Sales,North America,01/31/13,D,7,7,67
Yes,Sales,North America,02/28/13,D,7,14,55
Yes,Sales,North America,03/31/13,D,8,22,60
Yes,Sales,North America,04/30/13,D,9,31,51
Yes,Sales,North America,05/31/13,D,8,39,51
Yes,Sales,North America,06/30/13,D,10,49,55
Yes,Sales,North America,07/31/13,D,12,61,55
Yes,Sales,North America,08/31/13,D,8,69,46
Yes,Sales,North America,09/30/13,D,10,79,62
Yes,Sales,North America,10/31/13,D,8,87,51
Yes,Sales,North America,11/30/13,D,6,93,46
Yes,Sales,North America,12/31/13,D,5,98,46
Yes,Sales,South America,01/31/10,D,5,5,37
Yes,Sales,South America,02/28/10,D,5,10,35
Yes,Sales,South America,03/31/10,D,5,15,30
Yes,Sales,South America,04/30/10,D,5,20,25
Yes,Sales,South America,05/31/10,D,5,25,25
Yes,Sales,South America,06/30/10,D,8,33,37
Yes,Sales,South America,07/31/10,D,8,41,30
Yes,Sales,South America,08/31/10,D,6,47,28
Yes,Sales,South America,09/30/10,D,7,54,32
Yes,Sales,South America,10/31/10,D,6,60,35
Yes,Sales,South America,11/30/10,D,5,65,32
Yes,Sales,South America,12/31/10,D,5,70,41
Yes,Sales,South America,01/31/11,D,3,3,21
Yes,Sales,South America,02/28/11,D,3,6,23
Yes,Sales,South America,03/31/11,D,3,9,18
Yes,Sales,South America,04/30/11,D,4,13,21
Yes,Sales,South America,05/31/11,D,4,17,21
Yes,Sales,South America,06/30/11,D,4,21,18
Yes,Sales,South America,07/31/11,D,5,26,21
Yes,Sales,South America,08/31/11,D,4,30,21
Yes,Sales,South America,09/30/11,D,3,33,14
Yes,Sales,South America,10/31/11,D,4,37,21
Yes,Sales,South America,11/30/11,D,3,40,18
Yes,Sales,South America,12/31/11,D,2,42,14
Yes,Sales,South America,01/31/12,D,2,2,9
Yes,Sales,South America,02/28/12,D,2,4,7
Yes,Sales,South America,03/31/12,D,1,5,2
Yes,Sales,South America,04/30/12,D,2,7,7
Yes,Sales,South America,05/31/12,D,2,9,7
Yes,Sales,South America,06/30/12,D,3,12,9
Yes,Sales,South America,07/31/12,D,2,14,5
Yes,Sales,South America,08/31/12,D,2,16,5
Yes,Sales,South America,09/30/12,D,1,17,2
Yes,Sales,South America,10/31/12,D,2,19,5
Yes,Sales,South America,11/30/12,D,1,20,5
Yes,Sales,South America,12/31/12,D,1,21,2
Yes,Sales,South America,01/31/13,D,1,1,9
Yes,Sales,South America,02/28/13,D,2,3,9
Yes,Sales,South America,03/31/13,D,1,4,5
Yes,Sales,South America,04/30/13,D,2,6,7
Yes,Sales,South America,05/31/13,D,1,7,5
Yes,Sales,South America,06/30/13,D,1,8,5
Yes,Sales,South America,07/31/13,D,2,10,7
Yes,Sales,South America,08/31/13,D,1,11,5
Yes,Sales,South America,09/30/13,D,1,12,2
Yes,Sales,South America,10/31/13,D,1,13,2
Yes,Sales,South America,11/30/13,D,1,14,5
Yes,Sales,South America,12/31/13,D,1,15,2
Yes,Sales,Asia,01/31/10,D,42,42,354
Yes,Sales,Asia,02/28/10,D,35,77,267
Yes,Sales,Asia,03/31/10,D,38,115,262
Yes,Sales,Asia,04/30/10,D,51,166,267
Yes,Sales,Asia,05/31/10,D,46,212,253
Yes,Sales,Asia,06/30/10,D,54,266,248
Yes,Sales,Asia,07/31/10,D,60,326,251
Yes,Sales,Asia,08/31/10,D,46,372,242
Yes,Sales,Asia,09/30/10,D,46,418,237
Yes,Sales,Asia,10/31/10,D,41,459,246
Yes,Sales,Asia,11/30/10,D,36,495,230
Yes,Sales,Asia,12/31/10,D,29,524,239
Yes,Sales,Asia,01/31/11,D,26,26,225
Yes,Sales,Asia,02/28/11,D,29,55,230
Yes,Sales,Asia,03/31/11,D,33,88,239
Yes,Sales,Asia,04/30/11,D,43,131,237
Yes,Sales,Asia,05/31/11,D,38,169,223
Yes,Sales,Asia,06/30/11,D,47,216,228
Yes,Sales,Asia,07/31/11,D,46,262,200
Yes,Sales,Asia,08/31/11,D,45,307,244
Yes,Sales,Asia,09/30/11,D,45,352,244
Yes,Sales,Asia,10/31/11,D,39,391,242
Yes,Sales,Asia,11/30/11,D,30,421,200
Yes,Sales,Asia,12/31/11,D,12,433,106
Yes,Sales,Asia,01/31/12,D,14,14,85
Yes,Sales,Asia,02/28/12,D,16,30,90
Yes,Sales,Asia,03/31/12,D,16,46,85
Yes,Sales,Asia,04/30/12,D,23,69,90
Yes,Sales,Asia,05/31/12,D,21,90,87
Yes,Sales,Asia,06/30/12,D,26,116,90
Yes,Sales,Asia,07/31/12,D,24,140,74
Yes,Sales,Asia,08/31/12,D,21,161,81
Yes,Sales,Asia,09/30/12,D,18,179,71
Yes,Sales,Asia,10/31/12,D,18,197,78
Yes,Sales,Asia,11/30/12,D,17,214,83
Yes,Sales,Asia,12/31/12,D,14,228,85
Yes,Sales,Asia,01/31/13,D,8,8,78
Yes,Sales,Asia,02/28/13,D,10,18,83
Yes,Sales,Asia,03/31/13,D,10,28,78
Yes,Sales,Asia,04/30/13,D,12,40,69
Yes,Sales,Asia,05/31/13,D,11,51,69
Yes,Sales,Asia,06/30/13,D,15,66,78
Yes,Sales,Asia,07/31/13,D,15,81,71
Yes,Sales,Asia,08/31/13,D,12,93,69
Yes,Sales,Asia,09/30/13,D,11,104,67
Yes,Sales,Asia,10/31/13,D,9,113,62
Yes,Sales,Asia,11/30/13,D,9,122,64
Yes,Sales,Asia,12/31/13,D,7,129,69
Yes,Sales,Europe,01/31/10,D,12,12,97
Yes,Sales,Europe,02/28/10,D,12,24,85
Yes,Sales,Europe,03/31/10,D,12,36,78
Yes,Sales,Europe,04/30/10,D,16,52,83
Yes,Sales,Europe,05/31/10,D,15,67,81
Yes,Sales,Europe,06/30/10,D,18,85,81
Yes,Sales,Europe,07/31/10,D,17,102,69
Yes,Sales,Europe,08/31/10,D,16,118,83
Yes,Sales,Europe,09/30/10,D,14,132,74
Yes,Sales,Europe,10/31/10,D,13,145,78
Yes,Sales,Europe,11/30/10,D,11,156,71
Yes,Sales,Europe,12/31/10,D,8,164,64
Yes,Sales,Europe,01/31/11,D,9,9,71
Yes,Sales,Europe,02/28/11,D,8,17,58
Yes,Sales,Europe,03/31/11,D,8,25,55
Yes,Sales,Europe,04/30/11,D,11,36,60
Yes,Sales,Europe,05/31/11,D,9,45,51
Yes,Sales,Europe,06/30/11,D,8,53,39
Yes,Sales,Europe,07/31/11,D,12,65,53
Yes,Sales,Europe,08/31/11,D,10,75,55
Yes,Sales,Europe,09/30/11,D,11,86,60
Yes,Sales,Europe,10/31/11,D,7,93,41
Yes,Sales,Europe,11/30/11,D,8,101,48
Yes,Sales,Europe,12/31/11,D,6,107,46
Yes,Sales,Europe,01/31/12,D,6,6,35
Yes,Sales,Europe,02/28/12,D,6,12,32
Yes,Sales,Europe,03/31/12,D,6,18,28
Yes,Sales,Europe,04/30/12,D,9,27,32
Yes,Sales,Europe,05/31/12,D,7,34,28
Yes,Sales,Europe,06/30/12,D,7,41,23
Yes,Sales,Europe,07/31/12,D,8,49,25
Yes,Sales,Europe,08/31/12,D,6,55,23
Yes,Sales,Europe,09/30/12,D,6,61,23
Yes,Sales,Europe,10/31/12,D,6,67,25
Yes,Sales,Europe,11/30/12,D,7,74,30
Yes,Sales,Europe,12/31/12,D,5,79,28
No,Development,Africa,01/31/13,D,10,10,99
No,Development,Africa,02/28/13,D,11,21,92
No,Development,Africa,03/31/13,D,12,33,99
No,Development,Africa,04/30/13,D,16,49,99
No,Development,Africa,05/31/13,D,15,64,94
No,Development,Africa,06/30/13,D,18,82,99
No,Development,Africa,07/31/13,D,21,103,101
No,Development,Africa,08/31/13,D,18,121,108
No,Development,Africa,09/30/13,D,18,139,108
No,Development,Africa,10/31/13,D,13,152,92
No,Development,Africa,11/30/13,D,12,164,85
No,Development,Africa,12/31/13,D,9,173,81
No,Development,North America,01/31/10,D,10,10,81
No,Development,North America,02/28/10,D,10,20,76
No,Development,North America,03/31/10,D,12,32,81
No,Development,North America,04/30/10,D,16,48,81
No,Development,North America,05/31/10,D,15,63,81
No,Development,North America,06/30/10,D,18,81,81
No,Development,North America,07/31/10,D,20,101,83
No,Development,North America,08/31/10,D,17,118,85
No,Development,North America,09/30/10,D,17,135,85
No,Development,North America,10/31/10,D,17,152,101
No,Development,North America,11/30/10,D,16,168,104
No,Development,North America,12/31/10,D,12,180,101
No,Development,North America,01/31/11,D,8,8,69
No,Development,North America,02/28/11,D,9,17,67
No,Development,North America,03/31/11,D,10,27,69
No,Development,North America,04/30/11,D,13,40,67
No,Development,North America,05/31/11,D,18,58,106
No,Development,North America,06/30/11,D,22,80,106
No,Development,North America,07/31/11,D,27,107,117
No,Development,North America,08/31/11,D,22,129,120
No,Development,North America,09/30/11,D,23,152,122
No,Development,North America,10/31/11,D,18,170,113
No,Development,North America,11/30/11,D,19,189,124
No,Development,North America,12/31/11,D,14,203,124
No,Development,North America,01/31/12,D,23,23,147
No,Development,North America,02/28/12,D,25,48,147
No,Development,North America,03/31/12,D,30,78,156
No,Development,North America,04/30/12,D,52,130,207
No,Development,North America,05/31/12,D,51,181,216
No,Development,North America,06/30/12,D,65,246,228
No,Development,North America,07/31/12,D,86,332,274
No,Development,North America,08/31/12,D,73,405,290
No,Development,North America,09/30/12,D,74,479,294
No,Development,North America,10/31/12,D,65,544,294
No,Development,North America,11/30/12,D,59,603,290
No,Development,North America,12/31/12,D,45,648,288
No,Development,North America,01/31/13,D,26,26,253
No,Development,North America,02/28/13,D,30,56,267
No,Development,North America,03/31/13,D,33,89,267
No,Development,North America,04/30/13,D,42,131,262
No,Development,North America,05/31/13,D,41,172,267
No,Development,North America,06/30/13,D,48,220,262
No,Development,North America,07/31/13,D,52,272,258
No,Development,North America,08/31/13,D,40,312,248
No,Development,North America,09/30/13,D,42,354,262
No,Development,North America,10/31/13,D,38,392,265
No,Development,North America,11/30/13,D,39,431,299
No,Development,North America,12/31/13,D,30,461,292
No,Development,South America,01/31/10,D,5,5,39
No,Development,South America,02/28/10,D,1,6,5
No,Development,South America,03/31/10,D,1,7,5
No,Development,South America,04/30/10,D,2,9,7
No,Development,South America,05/31/10,D,2,11,7
No,Development,South America,06/30/10,D,2,13,7
No,Development,South America,07/31/10,D,3,16,9
No,Development,South America,08/31/10,D,2,18,9
No,Development,South America,09/30/10,D,2,20,9
No,Development,South America,10/31/10,D,2,22,9
No,Development,South America,11/30/10,D,2,24,9
No,Development,South America,12/31/10,D,2,26,9
No,Development,South America,01/31/11,D,3,3,25
No,Development,South America,02/28/11,D,3,6,23
No,Development,South America,03/31/11,D,4,10,23
No,Development,South America,04/30/11,D,5,15,25
No,Development,South America,05/31/11,D,5,20,25
No,Development,South America,06/30/11,D,6,26,25
No,Development,South America,07/31/11,D,10,36,41
No,Development,South America,08/31/11,D,8,44,41
No,Development,South America,09/30/11,D,5,49,25
No,Development,South America,10/31/11,D,5,54,28
No,Development,South America,11/30/11,D,5,59,30
No,Development,South America,12/31/11,D,4,63,30
No,Development,South America,01/31/12,D,12,12,74
No,Development,South America,02/28/12,D,13,25,74
No,Development,South America,03/31/12,D,14,39,74
No,Development,South America,04/30/12,D,78,117,311
No,Development,South America,05/31/12,D,72,189,306
No,Development,South America,06/30/12,D,86,275,304
No,Development,South America,07/31/12,D,97,372,308
No,Development,South America,08/31/12,D,77,449,308
No,Development,South America,09/30/12,D,79,528,313
No,Development,South America,10/31/12,D,69,597,313
No,Development,South America,11/30/12,D,64,661,313
No,Development,South America,12/31/12,D,49,710,313
No,Development,South America,01/31/13,D,28,28,278
No,Development,South America,02/28/13,D,31,59,276
No,Development,South America,03/31/13,D,34,93,278
No,Development,South America,04/30/13,D,46,139,283
No,Development,South America,05/31/13,D,43,182,281
No,Development,South America,06/30/13,D,51,233,281
No,Development,South America,07/31/13,D,58,291,285
No,Development,South America,08/31/13,D,45,336,281
No,Development,South America,09/30/13,D,45,381,278
No,Development,South America,10/31/13,D,40,421,283
No,Development,South America,11/30/13,D,37,458,283
No,Development,South America,12/31/13,D,29,487,283
No,Development,Asia,01/31/10,D,25,25,209
No,Development,Asia,02/28/10,D,27,52,200
No,Development,Asia,03/31/10,D,29,81,200
No,Development,Asia,04/30/10,D,39,120,205
No,Development,Asia,05/31/10,D,36,156,200
No,Development,Asia,06/30/10,D,39,195,182
No,Development,Asia,07/31/10,D,43,238,179
No,Development,Asia,08/31/10,D,25,263,129
No,Development,Asia,09/30/10,D,24,287,122
No,Development,Asia,10/31/10,D,21,308,124
No,Development,Asia,11/30/10,D,20,328,127
No,Development,Asia,12/31/10,D,15,343,122
No,Development,Asia,01/31/11,D,24,24,212
No,Development,Asia,02/28/11,D,28,52,221
No,Development,Asia,03/31/11,D,29,81,214
No,Development,Asia,04/30/11,D,35,116,191
No,Development,Asia,05/31/11,D,34,150,196
No,Development,Asia,06/30/11,D,40,190,193
No,Development,Asia,07/31/11,D,44,234,191
No,Development,Asia,08/31/11,D,31,265,168
No,Development,Asia,09/30/11,D,31,296,168
No,Development,Asia,10/31/11,D,26,322,161
No,Development,Asia,11/30/11,D,24,346,159
No,Development,Asia,12/31/11,D,19,365,161
No,Development,Asia,01/31/12,D,24,24,154
No,Development,Asia,02/28/12,D,25,49,143
No,Development,Asia,03/31/12,D,43,92,230
No,Development,Asia,04/30/12,D,90,182,359
No,Development,Asia,05/31/12,D,84,266,357
No,Development,Asia,06/30/12,D,101,367,357
No,Development,Asia,07/31/12,D,133,500,423
No,Development,Asia,08/31/12,D,111,611,442
No,Development,Asia,09/30/12,D,116,727,465
No,Development,Asia,10/31/12,D,101,828,462
No,Development,Asia,11/30/12,D,94,922,465
No,Development,Asia,12/31/12,D,70,992,453
No,Development,Asia,01/31/13,D,44,44,439
No,Development,Asia,02/28/13,D,48,92,435
No,Development,Asia,03/31/13,D,51,143,423
No,Development,Asia,04/30/13,D,68,211,421
No,Development,Asia,05/31/13,D,63,274,414
No,Development,Asia,06/30/13,D,73,347,405
No,Development,Asia,07/31/13,D,81,428,405
No,Development,Asia,08/31/13,D,66,494,409
No,Development,Asia,09/30/13,D,65,559,403
No,Development,Asia,10/31/13,D,56,615,393
No,Development,Asia,11/30/13,D,51,666,391
No,Development,Asia,12/31/13,D,39,705,386
No,Development,Europe,01/31/10,D,9,9,71
No,Development,Europe,02/28/10,D,10,19,71
No,Development,Europe,03/31/10,D,10,29,64
No,Development,Europe,04/30/10,D,14,43,69
No,Development,Europe,05/31/10,D,12,55,67
No,Development,Europe,06/30/10,D,16,71,74
No,Development,Europe,07/31/10,D,18,89,74
No,Development,Europe,08/31/10,D,14,103,71
No,Development,Europe,09/30/10,D,14,117,71
No,Development,Europe,10/31/10,D,11,128,64
No,Development,Europe,11/30/10,D,9,137,53
No,Development,Europe,12/31/10,D,7,144,58
No,Development,Europe,01/31/11,D,6,6,53
No,Development,Europe,02/28/11,D,7,13,51
No,Development,Europe,03/31/11,D,7,20,48
No,Development,Europe,04/30/11,D,10,30,51
No,Development,Europe,05/31/11,D,8,38,46
No,Development,Europe,06/30/11,D,9,47,41
No,Development,Europe,07/31/11,D,10,57,44
No,Development,Europe,08/31/11,D,8,65,41
No,Development,Europe,09/30/11,D,8,73,41
No,Development,Europe,10/31/11,D,7,80,39
No,Development,Europe,11/30/11,D,7,87,41
No,Development,Europe,12/31/11,D,5,92,41
No,Development,Europe,01/31/12,D,8,8,46
No,Development,Europe,02/28/12,D,8,16,41
No,Development,Europe,03/31/12,D,8,24,39
No,Development,Europe,04/30/12,D,11,35,41
No,Development,Europe,05/31/12,D,10,45,39
No,Development,Europe,06/30/12,D,11,56,39
No,Development,Europe,07/31/12,D,17,73,53
No,Development,Europe,08/31/12,D,18,91,69
No,Development,Europe,09/30/12,D,18,109,69
No,Development,Europe,10/31/12,D,16,125,71
No,Development,Europe,11/30/12,D,15,140,71
No,Development,Europe,12/31/12,D,11,151,69
No,Distributio,Africa,01/31/13,D,32,32,313
No,Distributio,Africa,02/28/13,D,32,64,283
No,Distributio,Africa,03/31/13,D,31,95,255
No,Distributio,Africa,04/30/13,D,38,133,237
No,Distributio,Africa,05/31/13,D,36,169,237
No,Distributio,Africa,06/30/13,D,42,211,230
No,Distributio,Africa,07/31/13,D,41,252,200
No,Distributio,Africa,08/31/13,D,31,283,189
No,Distributio,Africa,09/30/13,D,30,313,182
No,Distributio,Africa,10/31/13,D,24,337,168
No,Distributio,Africa,11/30/13,D,23,360,170
No,Distributio,Africa,12/31/13,D,18,378,177
No,Distributio,North America,01/31/10,D,79,79,662
No,Distributio,North America,02/28/10,D,82,161,630
No,Distributio,North America,03/31/10,D,89,250,623
No,Distributio,North America,04/30/10,D,119,369,626
No,Distributio,North America,05/31/10,D,111,480,619
No,Distributio,North America,06/30/10,D,133,613,619
No,Distributio,North America,07/31/10,D,148,761,621
No,Distributio,North America,08/31/10,D,120,881,630
No,Distributio,North America,09/30/10,D,123,1004,646
No,Distributio,North America,10/31/10,D,107,1111,639
No,Distributio,North America,11/30/10,D,99,1210,639
No,Distributio,North America,12/31/10,D,75,1285,633
No,Distributio,North America,01/31/11,D,57,57,501
No,Distributio,North America,02/28/11,D,61,118,485
No,Distributio,North America,03/31/11,D,65,183,476
No,Distributio,North America,04/30/11,D,87,270,478
No,Distributio,North America,05/31/11,D,76,346,446
No,Distributio,North America,06/30/11,D,87,433,426
No,Distributio,North America,07/31/11,D,91,524,398
No,Distributio,North America,08/31/11,D,71,595,391
No,Distributio,North America,09/30/11,D,70,665,384
No,Distributio,North America,10/31/11,D,62,727,391
No,Distributio,North America,11/30/11,D,58,785,391
No,Distributio,North America,12/31/11,D,45,830,396
No,Distributio,North America,01/31/12,D,56,56,363
No,Distributio,North America,02/28/12,D,59,115,347
No,Distributio,North America,03/31/12,D,64,179,340
No,Distributio,North America,04/30/12,D,82,261,327
No,Distributio,North America,05/31/12,D,78,339,331
No,Distributio,North America,06/30/12,D,85,424,299
No,Distributio,North America,07/31/12,D,93,517,297
No,Distributio,North America,08/31/12,D,70,587,278
No,Distributio,North America,09/30/12,D,66,653,265
No,Distributio,North America,10/31/12,D,56,709,253
No,Distributio,North America,11/30/12,D,47,756,230
No,Distributio,North America,12/31/12,D,35,791,223
No,Distributio,North America,01/31/13,D,18,18,175
No,Distributio,North America,02/28/13,D,16,34,143
No,Distributio,North America,03/31/13,D,15,49,124
No,Distributio,North America,04/30/13,D,15,64,92
No,Distributio,North America,05/31/13,D,13,77,81
No,Distributio,North America,06/30/13,D,14,91,74
No,Distributio,North America,07/31/13,D,11,102,53
No,Distributio,North America,08/31/13,D,7,109,39
No,Distributio,North America,09/30/13,D,5,114,30
No,Distributio,North America,10/31/13,D,4,118,23
No,Distributio,North America,11/30/13,D,4,122,28
No,Distributio,North America,12/31/13,D,3,125,28
No,Distributio,South America,01/31/10,D,1,1,7
No,Distributio,South America,02/28/10,D,1,2,7
No,Distributio,South America,03/31/10,D,1,3,7
No,Distributio,South America,04/30/10,D,2,5,9
No,Distributio,South America,05/31/10,D,2,7,9
No,Distributio,South America,06/30/10,D,2,9,9
No,Distributio,South America,07/31/10,D,3,12,12
No,Distributio,South America,08/31/10,D,3,15,12
No,Distributio,South America,09/30/10,D,3,18,12
No,Distributio,South America,10/31/10,D,2,20,12
No,Distributio,South America,11/30/10,D,2,22,12
No,Distributio,South America,12/31/10,D,2,24,12
No,Distributio,South America,01/31/11,D,2,2,16
No,Distributio,South America,02/28/11,D,3,5,18
No,Distributio,South America,03/31/11,D,3,8,18
No,Distributio,South America,04/30/11,D,4,12,21
No,Distributio,South America,05/31/11,D,4,16,21
No,Distributio,South America,06/30/11,D,5,21,21
No,Distributio,South America,07/31/11,D,7,28,30
No,Distributio,South America,08/31/11,D,7,35,35
No,Distributio,South America,09/30/11,D,7,42,37
No,Distributio,South America,10/31/11,D,6,48,37
No,Distributio,South America,11/30/11,D,6,54,35
No,Distributio,South America,12/31/11,D,4,58,35
No,Distributio,South America,01/31/12,D,6,6,37
No,Distributio,South America,02/28/12,D,7,13,37
No,Distributio,South America,03/31/12,D,7,20,37
No,Distributio,South America,04/30/12,D,16,36,62
No,Distributio,South America,05/31/12,D,14,50,58
No,Distributio,South America,06/30/12,D,17,67,58
No,Distributio,South America,07/31/12,D,21,88,64
No,Distributio,South America,08/31/12,D,13,101,51
No,Distributio,South America,09/30/12,D,12,113,46
No,Distributio,South America,10/31/12,D,9,122,39
No,Distributio,South America,11/30/12,D,8,130,37
No,Distributio,South America,12/31/12,D,6,136,37
No,Distributio,South America,01/31/13,D,4,4,37
No,Distributio,South America,02/28/13,D,4,8,30
No,Distributio,South America,03/31/13,D,4,12,28
No,Distributio,South America,04/30/13,D,5,17,25
No,Distributio,South America,05/31/13,D,4,21,25
No,Distributio,South America,06/30/13,D,5,26,25
No,Distributio,South America,07/31/13,D,2,28,7
No,Distributio,South America,08/31/13,D,1,29,5
No,Distributio,South America,09/30/13,D,1,30,5
No,Distributio,South America,10/31/13,D,1,31,5
No,Distributio,South America,11/30/13,D,1,32,5
No,Distributio,South America,12/31/13,D,1,33,5
No,Distributio,Asia,01/31/10,D,64,64,538
No,Distributio,Asia,02/28/10,D,70,134,536
No,Distributio,Asia,03/31/10,D,76,210,534
No,Distributio,Asia,04/30/10,D,100,310,524
No,Distributio,Asia,05/31/10,D,94,404,524
No,Distributio,Asia,06/30/10,D,116,520,538
No,Distributio,Asia,07/31/10,D,127,647,531
No,Distributio,Asia,08/31/10,D,99,746,518
No,Distributio,Asia,09/30/10,D,98,844,515
No,Distributio,Asia,10/31/10,D,84,928,501
No,Distributio,Asia,11/30/10,D,77,1005,495
No,Distributio,Asia,12/31/10,D,57,1062,481
No,Distributio,Asia,01/31/11,D,39,39,343
No,Distributio,Asia,02/28/11,D,43,82,345
No,Distributio,Asia,03/31/11,D,45,127,331
No,Distributio,Asia,04/30/11,D,60,187,329
No,Distributio,Asia,05/31/11,D,50,237,290
No,Distributio,Asia,06/30/11,D,59,296,288
No,Distributio,Asia,07/31/11,D,62,358,271
No,Distributio,Asia,08/31/11,D,49,407,267
No,Distributio,Asia,09/30/11,D,48,455,262
No,Distributio,Asia,10/31/11,D,42,497,262
No,Distributio,Asia,11/30/11,D,39,536,260
No,Distributio,Asia,12/31/11,D,29,565,253
No,Distributio,Asia,01/31/12,D,38,38,244
No,Distributio,Asia,02/28/12,D,38,76,221
No,Distributio,Asia,03/31/12,D,37,113,198
No,Distributio,Asia,04/30/12,D,40,153,159
No,Distributio,Asia,05/31/12,D,38,191,161
No,Distributio,Asia,06/30/12,D,41,232,143
No,Distributio,Asia,07/31/12,D,42,274,133
No,Distributio,Asia,08/31/12,D,33,307,131
No,Distributio,Asia,09/30/12,D,33,340,131
No,Distributio,Asia,10/31/12,D,27,367,122
No,Distributio,Asia,11/30/12,D,24,391,117
No,Distributio,Asia,12/31/12,D,17,408,106
No,Distributio,Asia,01/31/13,D,18,18,170
No,Distributio,Asia,02/28/13,D,17,35,147
No,Distributio,Asia,03/31/13,D,15,50,124
No,Distributio,Asia,04/30/13,D,19,69,117
No,Distributio,Asia,05/31/13,D,19,88,122
No,Distributio,Asia,06/30/13,D,22,110,122
No,Distributio,Asia,07/31/13,D,21,131,101
No,Distributio,Asia,08/31/13,D,16,147,97
No,Distributio,Asia,09/30/13,D,15,162,92
No,Distributio,Asia,10/31/13,D,12,174,85
No,Distributio,Asia,11/30/13,D,11,185,83
No,Distributio,Asia,12/31/13,D,9,194,85
No,Distributio,Europe,01/31/10,D,47,47,393
No,Distributio,Europe,02/28/10,D,52,99,396
No,Distributio,Europe,03/31/10,D,56,155,393
No,Distributio,Europe,04/30/10,D,72,227,377
No,Distributio,Europe,05/31/10,D,68,295,382
No,Distributio,Europe,06/30/10,D,81,376,377
No,Distributio,Europe,07/31/10,D,94,470,391
No,Distributio,Europe,08/31/10,D,75,545,391
No,Distributio,Europe,09/30/10,D,75,620,393
No,Distributio,Europe,10/31/10,D,67,687,403
No,Distributio,Europe,11/30/10,D,66,753,423
No,Distributio,Europe,12/31/10,D,50,803,421
No,Distributio,Europe,01/31/11,D,37,37,324
No,Distributio,Europe,02/28/11,D,39,76,313
No,Distributio,Europe,03/31/11,D,42,118,306
No,Distributio,Europe,04/30/11,D,55,173,299
No,Distributio,Europe,05/31/11,D,52,225,306
No,Distributio,Europe,06/30/11,D,62,287,304
No,Distributio,Europe,07/31/11,D,63,350,276
No,Distributio,Europe,08/31/11,D,49,399,269
No,Distributio,Europe,09/30/11,D,48,447,262
No,Distributio,Europe,10/31/11,D,40,487,251
No,Distributio,Europe,11/30/11,D,37,524,251
No,Distributio,Europe,12/31/11,D,28,552,244
No,Distributio,Europe,01/31/12,D,37,37,235
No,Distributio,Europe,02/28/12,D,38,75,219
No,Distributio,Europe,03/31/12,D,37,112,196
No,Distributio,Europe,04/30/12,D,45,157,179
No,Distributio,Europe,05/31/12,D,38,195,159
No,Distributio,Europe,06/30/12,D,45,240,159
No,Distributio,Europe,07/31/12,D,48,288,152
No,Distributio,Europe,08/31/12,D,34,322,136
No,Distributio,Europe,09/30/12,D,32,354,127
No,Distributio,Europe,10/31/12,D,28,382,124
No,Distributio,Europe,11/30/12,D,27,409,133
No,Distributio,Europe,12/31/12,D,20,429,124
No,Human Resou,Africa,01/31/13,D,1,1,9
No,Human Resou,Africa,02/28/13,D,1,2,7
No,Human Resou,Africa,03/31/13,D,1,3,7
No,Human Resou,Africa,04/30/13,D,2,5,7
No,Human Resou,Africa,05/31/13,D,1,6,5
No,Human Resou,Africa,06/30/13,D,1,7,5
No,Human Resou,Africa,07/31/13,D,1,8,5
No,Human Resou,Africa,08/31/13,D,1,9,5
No,Human Resou,Africa,09/30/13,D,1,10,2
No,Human Resou,Africa,10/31/13,D,1,11,2
No,Human Resou,Africa,11/30/13,D,1,12,2
No,Human Resou,Africa,12/31/13,D,1,13,2
No,Human Resou,North America,01/31/10,D,3,3,18
No,Human Resou,North America,02/28/10,D,4,7,25
No,Human Resou,North America,03/31/10,D,4,11,23
No,Human Resou,North America,04/30/10,D,9,20,44
No,Human Resou,North America,05/31/10,D,9,29,46
No,Human Resou,North America,06/30/10,D,12,41,53
No,Human Resou,North America,07/31/10,D,15,56,62
No,Human Resou,North America,08/31/10,D,12,68,62
No,Human Resou,North America,09/30/10,D,13,81,64
No,Human Resou,North America,10/31/10,D,10,91,55
No,Human Resou,North America,11/30/10,D,10,101,60
No,Human Resou,North America,12/31/10,D,8,109,62
No,Human Resou,North America,01/31/11,D,11,11,97
No,Human Resou,North America,02/28/11,D,12,23,94
No,Human Resou,North America,03/31/11,D,14,37,97
No,Human Resou,North America,04/30/11,D,18,55,99
No,Human Resou,North America,05/31/11,D,19,74,110
No,Human Resou,North America,06/30/11,D,23,97,113
No,Human Resou,North America,07/31/11,D,26,123,113
No,Human Resou,North America,08/31/11,D,20,143,108
No,Human Resou,North America,09/30/11,D,21,164,113
No,Human Resou,North America,10/31/11,D,18,182,113
No,Human Resou,North America,11/30/11,D,16,198,106
No,Human Resou,North America,12/31/11,D,12,210,106
No,Human Resou,North America,01/31/12,D,18,18,113
No,Human Resou,North America,02/28/12,D,18,36,104
